,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
0,40.7482,-73.9806,3,19,7,2,3,7,0
1,40.6777,-73.9508,1,5,0,0,4,0,0
2,40.6856,-73.9673,1,7,0,0,3,0,0
3,40.726,-74.0072,1,0,2,0,6,3,0
4,40.7721,-73.9597,1,17,1,2,1,2,0
7,40.6596,-73.9882,2,18,0,0,4,0,0
8,40.7509,-74.004,3,11,7,0,0,4,0
9,40.7685,-73.9636,3,0,1,2,1,2,0
10,40.7035,-74.0144,1,13,2,0,1,3,0
11,40.6853,-73.9776,2,19,0,0,4,0,0
12,40.729,-74.0078,0,18,2,0,3,3,0
13,40.7335,-74.0081,1,17,2,0,1,3,0
14,40.7152,-74.0113,3,8,2,0,3,3,0
15,40.7346,-74.0008,3,15,2,0,6,4,0
16,40.79,-73.9523,2,17,1,2,6,6,0
17,40.7816,-73.9794,1,14,1,2,6,7,0
18,40.6658,-73.9793,1,20,0,0,3,0,0
20,40.7247,-73.9802,3,9,2,0,6,1,0
21,40.7591,-73.994,1,7,7,2,3,4,0
23,40.7645,-73.9815,1,12,7,2,6,7,0
24,40.7263,-73.9932,2,7,2,0,0,1,0
25,40.7151,-74.0162,0,17,2,0,5,3,0
26,40.7753,-73.9557,3,10,1,2,5,2,0
27,40.7441,-73.9918,1,8,7,2,0,4,0
28,40.7954,-73.9728,2,7,1,2,4,6,0
29,40.7513,-73.9783,3,18,7,2,3,7,0
30,40.7455,-73.9921,1,10,7,2,5,4,0
31,40.6976,-73.9957,3,9,2,0,6,0,0
32,40.7377,-73.9826,3,10,7,2,0,1,0
33,40.7418,-73.9894,1,17,7,2,2,4,0
34,40.7534,-73.9793,3,17,7,2,1,7,0
35,40.7566,-73.9669,1,19,7,2,4,7,0
36,40.6658,-73.9947,3,10,0,0,3,0,0
37,40.7258,-74.0041,1,14,2,0,1,3,0
38,40.7747,-73.9633,0,20,1,2,3,2,0
39,40.7381,-74.0049,3,6,2,0,4,4,0
40,40.6734,-73.957,1,22,0,0,4,0,0
41,40.6982,-73.9958,3,9,2,0,5,3,0
43,40.7357,-74.0068,3,17,2,0,0,4,0
44,40.7252,-73.9834,3,7,2,0,4,1,0
45,40.76,-73.9787,1,16,7,2,4,7,0
46,40.7409,-74.0089,1,21,2,0,6,4,0
47,40.7073,-74.0026,1,19,2,0,2,3,0
48,40.7877,-73.9538,3,7,1,2,4,6,0
49,40.7008,-73.9919,2,21,2,0,0,3,0
50,40.7201,-74.0086,3,23,2,0,4,3,0
51,40.7269,-73.9799,1,14,2,0,1,1,0
52,40.7789,-73.9822,2,19,7,2,1,7,0
53,40.7512,-74.0066,3,21,2,0,0,4,0
54,40.7549,-73.9958,1,17,7,2,2,4,0
56,40.7253,-73.9924,2,17,2,0,0,1,0
57,40.6888,-73.9928,4,16,0,0,3,0,0
58,40.7363,-73.9981,1,9,2,0,6,4,0
59,40.774,-73.9485,3,16,1,2,6,2,0
60,40.7438,-73.9834,3,8,7,2,3,4,0
61,40.7386,-73.9854,1,23,7,2,4,1,0
63,40.7701,-73.9614,1,6,1,2,4,2,0
64,40.721,-73.9841,3,16,2,0,6,1,0
66,40.7444,-73.9752,2,18,7,2,6,7,0
67,40.7343,-73.9937,1,20,2,0,1,1,0
68,40.7255,-74.0055,0,8,2,0,3,3,0
70,40.6713,-73.9845,1,21,0,0,2,0,0
71,40.6891,-73.9927,1,5,0,0,5,0,0
72,40.7558,-73.9751,1,15,7,2,3,7,0
73,40.7835,-73.9707,3,22,1,2,0,6,0
74,40.6853,-73.9674,0,17,0,0,3,0,0
75,40.756,-73.9832,3,22,7,2,2,7,0
76,40.7261,-73.9985,1,13,2,0,6,1,0
77,40.7106,-74.0096,4,19,2,0,4,3,0
78,40.7234,-73.9771,1,13,2,0,5,1,0
79,40.7201,-73.999,3,13,2,0,1,3,0
80,40.7375,-73.9881,3,4,2,2,4,1,0
82,40.8155,-73.9581,0,16,1,2,0,6,0
83,40.7212,-73.9563,1,8,0,0,3,5,0
85,40.74,-73.9896,3,17,2,2,6,4,0
86,40.7301,-73.9938,0,17,2,0,0,1,0
87,40.7705,-73.9565,1,6,1,2,3,2,0
88,40.7218,-73.944,3,1,0,0,4,5,0
89,40.7512,-73.9942,1,22,7,2,4,4,0
90,40.679,-74.0112,1,21,0,0,2,0,0
91,40.7586,-73.9926,2,15,7,2,2,4,0
92,40.7145,-73.9979,2,22,2,0,5,3,0
93,40.7789,-73.9762,3,10,1,2,6,7,0
94,40.7968,-73.949,2,21,1,2,0,6,0
95,40.7767,-73.961,0,18,1,2,4,2,0
96,40.7015,-73.943,1,17,0,0,6,5,0
97,40.7245,-73.9913,2,16,2,0,5,1,0
98,40.7621,-73.9784,2,4,7,2,6,7,0
100,40.7451,-73.995,2,15,7,2,2,4,0
101,40.7348,-74.0031,3,12,2,0,3,4,0
103,40.7247,-73.9973,3,17,2,0,0,1,0
104,40.7878,-73.9751,2,10,1,2,6,6,0
105,40.7641,-73.9543,1,20,1,2,5,2,0
106,40.7272,-74.0002,2,11,2,0,0,3,0
107,40.7376,-74.0094,2,5,2,0,2,4,0
108,40.687,-73.9436,2,6,0,0,0,5,0
109,40.7129,-73.9661,1,16,0,0,4,5,0
110,40.748,-73.9472,1,18,7,2,6,2,0
111,40.7424,-73.9745,3,11,7,2,4,7,0
112,40.6602,-73.9426,1,14,0,0,6,0,0
113,40.766,-73.9694,1,18,7,2,1,7,0
115,40.7555,-73.9928,1,17,7,2,2,4,0
117,40.7266,-74.0024,3,19,2,0,0,3,0
118,40.7366,-73.991,1,22,2,2,4,1,0
119,40.7496,-73.9879,1,0,7,2,6,4,0
120,40.7125,-73.9626,3,12,0,0,2,5,0
121,40.7431,-74.0085,2,23,2,0,3,4,0
122,40.727,-73.9916,2,19,2,0,5,1,0
123,40.7238,-74.0025,3,17,2,0,2,3,0
124,40.7475,-73.9722,2,7,7,2,6,7,0
125,40.7393,-74.0025,3,7,2,0,3,4,0
126,40.7175,-73.9933,2,4,2,0,6,1,0
