,Date/Time,Lat,Lon,Base,Hour,KMEANS5_labels,DBSCAN_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
586383,2014-06-19 19:00:00,40.7482,-73.9806,3,19,7,0,2,3,4,0
74811,2014-06-06 05:12:00,40.6777,-73.9508,1,5,0,0,0,4,0,0
125758,2014-06-12 07:36:00,40.6856,-73.9673,1,7,0,0,0,3,0,0
209110,2014-06-22 00:43:00,40.726,-74.0072,1,0,2,0,0,6,0,0
50663,2014-06-03 17:03:00,40.7721,-73.9597,1,17,1,0,2,1,4,0
259198,2014-06-28 15:38:00,40.6445,-73.7832,1,15,3,1,4,5,1,1
217191,2014-06-23 13:45:00,40.7682,-73.8621,1,13,6,2,1,0,3,2
304856,2014-06-06 18:51:00,40.6596,-73.9882,2,18,0,0,0,4,0,0
466853,2014-06-02 11:42:00,40.7509,-74.004,3,11,7,0,0,0,4,0
470580,2014-06-03 00:49:00,40.7685,-73.9636,3,0,1,0,2,1,4,0
168503,2014-06-17 13:09:00,40.7035,-74.0144,1,13,2,0,0,1,0,0
348380,2014-06-13 19:10:00,40.6853,-73.9776,2,19,0,0,0,4,0,0
13582,2014-06-12 18:29:00,40.729,-74.0078,0,18,2,0,0,3,0,0
111975,2014-06-10 17:39:00,40.7335,-74.0081,1,17,2,0,0,1,0,0
535410,2014-06-12 08:18:00,40.7152,-74.0113,3,8,2,0,0,3,0,0
603937,2014-06-22 15:22:00,40.7346,-74.0008,3,15,2,0,0,6,0,0
358386,2014-06-15 17:50:00,40.79,-73.9523,2,17,1,0,2,6,4,0
266029,2014-06-29 14:16:00,40.7816,-73.9794,1,14,1,0,2,6,4,0
191264,2014-06-19 20:56:00,40.6658,-73.9793,1,20,0,0,0,3,0,0
102855,2014-06-09 15:32:00,40.7732,-73.8859,1,15,6,2,1,0,3,2
461141,2014-06-01 09:23:00,40.7247,-73.9802,3,9,2,0,0,6,0,0
184007,2014-06-19 07:44:00,40.7591,-73.994,1,7,7,0,2,3,4,0
502418,2014-06-07 10:50:00,40.7286,-73.8493,3,10,6,-1,1,5,3,-1
265431,2014-06-29 12:14:00,40.7645,-73.9815,1,12,7,0,2,6,4,0
455054,2014-06-30 07:34:00,40.7263,-73.9932,2,7,2,0,0,0,0,0
30528,2014-06-28 17:13:00,40.7151,-74.0162,0,17,2,0,0,5,0,0
640796,2014-06-28 10:43:00,40.7753,-73.9557,3,10,1,0,2,5,4,0
100094,2014-06-09 08:51:00,40.7441,-73.9918,1,8,7,0,2,0,4,0
434879,2014-06-27 07:59:00,40.7954,-73.9728,2,7,1,0,2,4,4,0
629764,2014-06-26 18:35:00,40.7513,-73.9783,3,18,7,0,2,3,4,0
148484,2014-06-14 10:55:00,40.7455,-73.9921,1,10,7,0,2,5,4,0
559331,2014-06-15 09:54:00,40.6976,-73.9957,3,9,2,0,0,6,0,0
